County,State,CountyFIPS,Percentage
Anderson County,Texas,48001,9.9
Andrews County,Texas,48003,6.8
Angelina County,Texas,48005,12.7
Aransas County,Texas,48007,15.4
Archer County,Texas,48009,9.2
Armstrong County,Texas,48011,7
Atascosa County,Texas,48013,16
Austin County,Texas,48015,8.6
Bailey County,Texas,48017,5.4
Bandera County,Texas,48019,5.9
Bastrop County,Texas,48021,10.4
Baylor County,Texas,48023,9.1
Bee County,Texas,48025,13.6
Bell County,Texas,48027,11.7
Bexar County,Texas,48029,8.5
Blanco County,Texas,48031,9.4
Borden County,Texas,48033,13.6
Bosque County,Texas,48035,7.9
Bowie County,Texas,48037,13.4
Brazoria County,Texas,48039,10.1
Brazos County,Texas,48041,9.7
Brewster County,Texas,48043,10.2
Briscoe County,Texas,48045,7.7
Brooks County,Texas,48047,10.6
Brown County,Texas,48049,10.5
Burleson County,Texas,48051,3.6
Burnet County,Texas,48053,15.2
Caldwell County,Texas,48055,9.9
Calhoun County,Texas,48057,12
Callahan County,Texas,48059,11.1
Cameron County,Texas,48061,10
Camp County,Texas,48063,14.1
Carson County,Texas,48065,6.7
Cass County,Texas,48067,17.7
Castro County,Texas,48069,16.9
Chambers County,Texas,48071,7.6
Cherokee County,Texas,48073,12.3
Childress County,Texas,48075,12.8
Clay County,Texas,48077,12.8
Cochran County,Texas,48079,15.5
Coke County,Texas,48081,7
Coleman County,Texas,48083,14.5
Collin County,Texas,48085,8.6
Collingsworth County,Texas,48087,6.3
Colorado County,Texas,48089,8.1
Comal County,Texas,48091,4.2
Comanche County,Texas,48093,12.4
Concho County,Texas,48095,5.2
Cooke County,Texas,48097,6.3
Coryell County,Texas,48099,11.3
Cottle County,Texas,48101,12.7
Crane County,Texas,48103,7.8
Crockett County,Texas,48105,4.2
Crosby County,Texas,48107,3.9
Culberson County,Texas,48109,13.4
Dallam County,Texas,48111,8.1
Dallas County,Texas,48113,8.4
Dawson County,Texas,48115,16.3
Deaf Smith County,Texas,48117,5.6
Delta County,Texas,48119,8.4
Denton County,Texas,48121,8.9
DeWitt County,Texas,48123,13.5
Dickens County,Texas,48125,4.3
Dimmit County,Texas,48127,4.8
Donley County,Texas,48129,9.3
Duval County,Texas,48131,10.3
Eastland County,Texas,48133,4.2
Ector County,Texas,48135,8.2
Edwards County,Texas,48137,8.9
El Paso County,Texas,48141,9.5
Ellis County,Texas,48139,11.6
Erath County,Texas,48143,16.2
Falls County,Texas,48145,14.1
Fannin County,Texas,48147,5.5
Fayette County,Texas,48149,13.1
Fisher County,Texas,48151,5.7
Floyd County,Texas,48153,7.7
Foard County,Texas,48155,5.2
Fort Bend County,Texas,48157,7.4
Franklin County,Texas,48159,11.2
Freestone County,Texas,48161,17
Frio County,Texas,48163,4.5
Gaines County,Texas,48165,5.8
Galveston County,Texas,48167,10.7
Garza County,Texas,48169,5.6
Gillespie County,Texas,48171,2.3
Glasscock County,Texas,48173,9.8
Goliad County,Texas,48175,6
Gonzales County,Texas,48177,22.3
Gray County,Texas,48179,9.8
Grayson County,Texas,48181,11.2
Gregg County,Texas,48183,9.5
Grimes County,Texas,48185,12.9
Guadalupe County,Texas,48187,9.4
Hale County,Texas,48189,7.7
Hall County,Texas,48191,9.4
Hamilton County,Texas,48193,13.2
Hansford County,Texas,48195,5.6
Hardeman County,Texas,48197,6.7
Hardin County,Texas,48199,6.5
Harris County,Texas,48201,10.3
Harrison County,Texas,48203,12.9
Hartley County,Texas,48205,4.1
Haskell County,Texas,48207,8.6
